s_pc,x_pc,y_pc,z_pc
1079.62,-354.904,-117.627,-107.752
1081.546,-354.027,-116.054,-107.07
1083.474,-353.149,-114.48,-106.386
1085.403,-352.272,-112.905,-105.699
1087.334,-351.394,-111.329,-105.011
1089.266,-350.517,-109.751,-104.321
1091.201,-349.639,-108.172,-103.629
1093.137,-348.762,-106.592,-102.935
1095.075,-347.884,-105.01,-102.239
1097.015,-347.007,-103.427,-101.541
1098.956,-346.129,-101.843,-100.841
1100.899,-345.252,-100.258,-100.139
1102.844,-344.374,-98.671,-99.436
1104.79,-343.497,-97.084,-98.73
1106.738,-342.619,-95.495,-98.023
1108.689,-341.742,-93.904,-97.314
1110.64,-340.864,-92.313,-96.603
1112.593,-339.987,-90.72,-95.89
1114.548,-339.109,-89.126,-95.175
1116.504,-338.232,-87.531,-94.459
1118.463,-337.354,-85.934,-93.741
1120.423,-336.477,-84.336,-93.021
1122.385,-335.599,-82.737,-92.3
1124.348,-334.721,-81.137,-91.577
1126.313,-333.844,-79.535,-90.852
1128.278,-332.966,-77.933,-90.126
1130.246,-332.089,-76.329,-89.398
1132.217,-331.211,-74.723,-88.668
1134.187,-330.334,-73.117,-87.937
1136.16,-329.456,-71.509,-87.205
1138.134,-328.579,-69.9,-86.471
1140.111,-327.701,-68.289,-85.735
1142.088,-326.824,-66.678,-84.998
1144.067,-325.946,-65.065,-84.259
1146.048,-325.069,-63.451,-83.519
1148.03,-324.191,-61.835,-82.778
1150.013,-323.314,-60.219,-82.035
1151.999,-322.436,-58.601,-81.291
1153.986,-321.559,-56.982,-80.545
1155.975,-320.681,-55.361,-79.798
1157.964,-319.804,-53.74,-79.05
1159.956,-318.926,-52.117,-78.3
1161.948,-318.049,-50.493,-77.55
1163.943,-317.171,-48.867,-76.797
1165.938,-316.294,-47.241,-76.044
1167.936,-315.416,-45.613,-75.29
1169.934,-314.539,-43.984,-74.534
1171.935,-313.661,-42.353,-73.777
1173.936,-312.784,-40.722,-73.019
1175.94,-311.906,-39.089,-72.26
1177.944,-311.029,-37.455,-71.5
1179.95,-310.151,-35.819,-70.739
1181.958,-309.274,-34.182,-69.977
1183.966,-308.396,-32.545,-69.214
1185.977,-307.519,-30.905,-68.449
1187.988,-306.641,-29.265,-67.684
1190.001,-305.764,-27.623,-66.918
1192.016,-304.886,-25.98,-66.151
1194.031,-304.009,-24.336,-65.383
1196.048,-303.131,-22.691,-64.614
1198.067,-302.254,-21.044,-63.844
1200.087,-301.376,-19.396,-63.074
1202.108,-300.499,-17.747,-62.302
1204.131,-299.621,-16.096,-61.53
1206.154,-298.744,-14.444,-60.758
1208.18,-297.866,-12.791,-59.984
1210.205,-296.989,-11.137,-59.21
1212.233,-296.111,-9.482,-58.435
1214.262,-295.234,-7.825,-57.659
1216.292,-294.356,-6.167,-56.883
1218.323,-293.479,-4.508,-56.106
1220.356,-292.601,-2.847,-55.329
1222.39,-291.724,-1.185,-54.551
1224.426,-290.846,0.478,-53.772
1226.461,-289.969,2.142,-52.994
1228.499,-289.091,3.807,-52.214
1230.537,-288.214,5.474,-51.434
1232.577,-287.336,7.142,-50.654
1234.618,-286.459,8.811,-49.874
1236.661,-285.581,10.482,-49.093
1238.704,-284.704,12.154,-48.311
1240.749,-283.826,13.827,-47.53
1242.794,-282.949,15.501,-46.748
1244.841,-282.071,17.177,-45.966
1246.889,-281.194,18.854,-45.184
1248.938,-280.316,20.532,-44.401
1250.987,-279.439,22.211,-43.619
1253.038,-278.561,23.891,-42.836
1255.091,-277.684,25.573,-42.053
1257.144,-276.806,27.256,-41.27
1259.199,-275.929,28.941,-40.487
1261.254,-275.051,30.626,-39.704
1263.31,-274.174,32.313,-38.921
1265.367,-273.296,34.001,-38.138
1267.426,-272.419,35.691,-37.356
1269.485,-271.541,37.381,-36.573
1271.545,-270.664,39.073,-35.791
1273.606,-269.786,40.766,-35.008
1275.669,-268.909,42.461,-34.226
1277.732,-268.031,44.156,-33.444
1279.795,-267.154,45.853,-32.663
1281.861,-266.276,47.551,-31.881
1283.927,-265.399,49.251,-31.1
1285.993,-264.521,50.951,-30.32
1288.061,-263.643,52.653,-29.539
1290.129,-262.766,54.356,-28.76
1292.2,-261.888,56.061,-27.98
1294.269,-261.011,57.766,-27.202
1296.34,-260.133,59.473,-26.423
1298.412,-259.256,61.181,-25.646
1300.485,-258.378,62.891,-24.868
1302.559,-257.501,64.602,-24.092
1304.633,-256.623,66.313,-23.316
1306.708,-255.746,68.027,-22.541
1308.784,-254.868,69.741,-21.767
1310.86,-253.991,71.457,-20.993
1312.938,-253.113,73.174,-20.22
1315.016,-252.236,74.892,-19.448
1317.094,-251.358,76.611,-18.677
1319.173,-250.481,78.332,-17.907
1321.254,-249.603,80.054,-17.138
1323.334,-248.726,81.777,-16.37
1325.416,-247.848,83.502,-15.602
1327.498,-246.971,85.227,-14.836
1329.581,-246.093,86.954,-14.071
1331.664,-245.216,88.683,-13.307
1333.748,-244.338,90.412,-12.544
1335.833,-243.461,92.143,-11.783
1337.918,-242.583,93.875,-11.022
1340.004,-241.706,95.608,-10.263
1342.09,-240.828,97.343,-9.506
1344.176,-239.951,99.078,-8.749
1346.264,-239.073,100.815,-7.994
1348.352,-238.196,102.554,-7.241
1350.44,-237.318,104.293,-6.489
1352.529,-236.441,106.034,-5.738
1354.619,-235.563,107.776,-4.989
1356.708,-234.686,109.519,-4.242
1358.799,-233.808,111.264,-3.496
1360.89,-232.931,113.01,-2.752
1362.982,-232.053,114.757,-2.009
1365.073,-231.176,116.505,-1.269
1367.165,-230.298,118.255,-0.53
1369.257,-229.421,120.005,0.207
1371.35,-228.543,121.757,0.942
1373.444,-227.666,123.511,1.676
1375.537,-226.788,125.265,2.407
1377.631,-225.911,127.021,3.136
1379.726,-225.033,128.778,3.864
1381.82,-224.156,130.536,4.589
1383.915,-223.278,132.296,5.312
1386.011,-222.401,134.057,6.033
1388.106,-221.523,135.819,6.751
1390.202,-220.646,137.582,7.468
1392.298,-219.768,139.347,8.182
1394.394,-218.891,141.113,8.893
1396.491,-218.013,142.88,9.603
1398.587,-217.136,144.648,10.309
1400.685,-216.258,146.418,11.014
1402.782,-215.381,148.189,11.716
1404.88,-214.503,149.961,12.415
1406.977,-213.626,151.734,13.112
1409.076,-212.748,153.509,13.806
1411.173,-211.871,155.285,14.497
1413.272,-210.993,157.062,15.186
1415.369,-210.116,158.84,15.871
1417.468,-209.238,160.62,16.554
1419.567,-208.361,162.401,17.234
1421.666,-207.483,164.183,17.911
1423.764,-206.606,165.966,18.585
1425.863,-205.728,167.751,19.256
1427.962,-204.851,169.537,19.924
1430.061,-203.973,171.324,20.589
1432.161,-203.096,173.113,21.251
1434.259,-202.218,174.902,21.909
1436.358,-201.341,176.693,22.564
1438.458,-200.463,178.486,23.216
1440.557,-199.586,180.279,23.864
1442.657,-198.708,182.074,24.509
1444.756,-197.831,183.87,25.151
1446.855,-196.953,185.667,25.789
1448.954,-196.076,187.465,26.423
1451.054,-195.198,189.265,27.054
1453.153,-194.32,191.066,27.681
1455.252,-193.443,192.868,28.304
1457.352,-192.565,194.672,28.924
1459.45,-191.688,196.476,29.54
1461.549,-190.81,198.282,30.151
1463.648,-189.933,200.09,30.759
1465.747,-189.055,201.898,31.363
1467.846,-188.178,203.708,31.963
1469.945,-187.3,205.519,32.559
1472.043,-186.423,207.331,33.15
1474.142,-185.545,209.145,33.738
1476.24,-184.668,210.959,34.321
1478.339,-183.79,212.775,34.9
1480.437,-182.913,214.593,35.474
1482.535,-182.035,216.411,36.044
1484.633,-181.158,218.231,36.61
1486.731,-180.28,220.052,37.171
1488.828,-179.403,221.874,37.727
1490.926,-178.525,223.698,38.279
1493.024,-177.648,225.523,38.826
1495.121,-176.77,227.349,39.369
1497.218,-175.893,229.176,39.907
1499.316,-175.015,231.005,40.439
1501.411,-174.138,232.834,40.967
1503.509,-173.26,234.666,41.49
1505.605,-172.383,236.498,42.008
1507.702,-171.505,238.331,42.521
1509.798,-170.628,240.166,43.029
1511.894,-169.75,242.002,43.531
1513.99,-168.873,243.84,44.028
1516.086,-167.995,245.678,44.52
1518.181,-167.118,247.518,45.007
1520.277,-166.24,249.359,45.488
1522.373,-165.363,251.202,45.964
1524.468,-164.485,253.045,46.434
1526.563,-163.608,254.89,46.899
1528.658,-162.73,256.736,47.358
1530.753,-161.853,258.584,47.811
1532.847,-160.975,260.432,48.259
1534.942,-160.098,262.282,48.701
1537.036,-159.22,264.133,49.137
1539.131,-158.343,265.986,49.567
1541.225,-157.465,267.839,49.991
1543.319,-156.588,269.694,50.409
1545.413,-155.71,271.55,50.821
1547.507,-154.833,273.408,51.226
1549.601,-153.955,275.266,51.626
1551.694,-153.078,277.126,52.019
1553.788,-152.2,278.987,52.406
1555.882,-151.323,280.85,52.787
1557.976,-150.445,282.714,53.161
1560.07,-149.568,284.579,53.528
1562.163,-148.69,286.445,53.89
1564.256,-147.813,288.312,54.244
1566.35,-146.935,290.181,54.592
1568.444,-146.058,292.051,54.933
1570.537,-145.18,293.922,55.267
1572.631,-144.303,295.794,55.595
1574.725,-143.425,297.668,55.916
1576.818,-142.548,299.543,56.229
1578.912,-141.67,301.419,56.536
1581.006,-140.793,303.297,56.836
1583.101,-139.915,305.176,57.128
1585.195,-139.038,307.056,57.413
1587.289,-138.16,308.937,57.691
1589.383,-137.283,310.819,57.962
1591.478,-136.405,312.703,58.226
1593.573,-135.528,314.588,58.482
1595.668,-134.65,316.474,58.731
1597.764,-133.773,318.362,58.972
1599.859,-132.895,320.25,59.205
1601.956,-132.018,322.141,59.431
1604.052,-131.14,324.032,59.65
1606.148,-130.263,325.924,59.86
1608.246,-129.385,327.818,60.063
1610.343,-128.508,329.713,60.258
1612.441,-127.63,331.609,60.445
1614.539,-126.753,333.507,60.624
1616.638,-125.875,335.406,60.795
1618.737,-124.998,337.306,60.959
1620.837,-124.12,339.207,61.114
1622.938,-123.242,341.11,61.26
1625.038,-122.365,343.013,61.399
1627.14,-121.487,344.919,61.53
1629.242,-120.61,346.825,61.652
1631.344,-119.732,348.732,61.766
1633.448,-118.855,350.641,61.871
1635.552,-117.977,352.551,61.968
1637.658,-117.1,354.463,62.057
1639.763,-116.222,356.375,62.137
1641.87,-115.345,358.289,62.208
1643.977,-114.467,360.204,62.271
1646.086,-113.59,362.121,62.325
1648.195,-112.712,364.038,62.371
1650.305,-111.835,365.957,62.408
1652.417,-110.957,367.877,62.436
1654.529,-110.08,369.798,62.455
1656.643,-109.202,371.721,62.465
1658.757,-108.325,373.645,62.466
1660.873,-107.447,375.57,62.458
1662.989,-106.57,377.496,62.442
1665.108,-105.692,379.424,62.416
1667.227,-104.815,381.353,62.381
1669.348,-103.937,383.283,62.337
1671.47,-103.06,385.215,62.284
1673.593,-102.182,387.147,62.222
1675.718,-101.305,389.081,62.15
1677.844,-100.427,391.016,62.07
1679.973,-99.55,392.953,61.98
1682.102,-98.672,394.89,61.88
1684.233,-97.795,396.829,61.772
1686.365,-96.917,398.769,61.653
1688.5,-96.04,400.711,61.526
1690.636,-95.162,402.654,61.389
1692.774,-94.285,404.598,61.243
1694.914,-93.407,406.543,61.087
1697.055,-92.53,408.489,60.921
1699.199,-91.652,410.437,60.746
1701.344,-90.775,412.386,60.562
1703.491,-89.897,414.336,60.368
1705.641,-89.02,416.288,60.164
1707.792,-88.142,418.24,59.951
1709.945,-87.265,420.194,59.728
1712.101,-86.387,422.149,59.496
1714.259,-85.51,424.106,59.254
1716.419,-84.632,426.064,59.002
1718.582,-83.755,428.023,58.741
1720.746,-82.877,429.983,58.469
1722.913,-82.0,431.944,58.189
1725.083,-81.122,433.907,57.898
1727.254,-80.245,435.871,57.598
1729.429,-79.367,437.836,57.288
1731.606,-78.49,439.803,56.968
1733.786,-77.612,441.771,56.639
1735.968,-76.735,443.74,56.3
1738.153,-75.857,445.71,55.952
1740.341,-74.98,447.682,55.593
1742.53,-74.102,449.654,55.225
1744.723,-73.225,451.628,54.848
1746.92,-72.347,453.604,54.461
1749.118,-71.47,455.58,54.064
1751.32,-70.592,457.558,53.657
1753.524,-69.715,459.537,53.241
1755.732,-68.837,461.517,52.815
1757.942,-67.96,463.499,52.38
1760.156,-67.082,465.482,51.936
1762.372,-66.205,467.466,51.481
1764.592,-65.327,469.451,51.018
1766.814,-64.45,471.438,50.545
1769.041,-63.572,473.426,50.062
1771.269,-62.695,475.415,49.571
1773.501,-61.817,477.405,49.069
1775.737,-60.94,479.397,48.559
1777.976,-60.062,481.39,48.039
1780.217,-59.185,483.384,47.511
1782.462,-58.307,485.379,46.973
1784.711,-57.43,487.376,46.426
1786.962,-56.552,489.373,45.87
1789.218,-55.675,491.373,45.305
1791.476,-54.797,493.373,44.731
1793.739,-53.919,495.375,44.148
1796.003,-53.042,497.377,43.557
1798.273,-52.164,499.382,42.957
1800.544,-51.287,501.387,42.348
1802.82,-50.409,503.394,41.73
1805.099,-49.532,505.402,41.105
1807.381,-48.654,507.411,40.47
1809.667,-47.777,509.421,39.828
1811.956,-46.899,511.433,39.177
1814.249,-46.022,513.446,38.518
1816.545,-45.144,515.46,37.851
1818.843,-44.267,517.475,37.177
1821.147,-43.389,519.492,36.494
1823.453,-42.512,521.51,35.804
1825.762,-41.634,523.529,35.106
1828.076,-40.757,525.55,34.4
1830.392,-39.879,527.571,33.687
1832.711,-39.002,529.594,32.967
1835.035,-38.124,531.618,32.239
1837.361,-37.247,533.644,31.505
1839.691,-36.369,535.671,30.764
1842.024,-35.492,537.699,30.016
1844.36,-34.614,539.728,29.261
1846.699,-33.737,541.758,28.5
1849.042,-32.859,543.79,27.732
1851.387,-31.982,545.823,26.958
1853.736,-31.104,547.857,26.178
1856.087,-30.227,549.893,25.393
1858.442,-29.349,551.929,24.601
1860.799,-28.472,553.967,23.804
1863.161,-27.594,556.007,23.001
1865.524,-26.717,558.047,22.194
1867.89,-25.839,560.089,21.381
1870.259,-24.962,562.132,20.563
1872.631,-24.084,564.176,19.741
1875.006,-23.207,566.222,18.914
1877.383,-22.329,568.269,18.082
1879.763,-21.452,570.317,17.247
1882.145,-20.574,572.366,16.407
1884.529,-19.697,574.416,15.564
1886.915,-18.819,576.468,14.718
1889.304,-17.942,578.521,13.868
1891.696,-17.064,580.576,13.015
1894.089,-16.187,582.631,12.159
1896.485,-15.309,584.688,11.3
1898.882,-14.432,586.746,10.439
1901.281,-13.554,588.805,9.575
1903.682,-12.677,590.866,8.71
1906.085,-11.799,592.928,7.843
1908.489,-10.922,594.991,6.975
1910.895,-10.044,597.055,6.105
1913.302,-9.167,599.121,5.234
1915.711,-8.289,601.188,4.363
1918.121,-7.412,603.256,3.491
1920.532,-6.534,605.325,2.619
1922.944,-5.657,607.396,1.747
1925.357,-4.779,609.468,0.875
1927.771,-3.902,611.541,0.004
1930.185,-3.024,613.615,-0.866
1932.6,-2.147,615.691,-1.735
1935.016,-1.269,617.768,-2.602
1937.432,-0.392,619.846,-3.468
1939.849,0.486,621.925,-4.332
1942.266,1.363,624.006,-5.193
1944.683,2.241,626.088,-6.052
1947.099,3.118,628.171,-6.907
1949.516,3.996,630.255,-7.759
1951.933,4.873,632.341,-8.608
1954.35,5.751,634.428,-9.453
1956.765,6.628,636.516,-10.293
1959.18,7.506,638.605,-11.129
1961.595,8.383,640.696,-11.96
1964.009,9.261,642.788,-12.785
1966.422,10.138,644.881,-13.605
1968.836,11.016,646.976,-14.42
1971.246,11.893,649.071,-15.227
1973.656,12.771,651.168,-16.028
1976.065,13.648,653.266,-16.823
1978.473,14.526,655.366,-17.609
1980.88,15.403,657.467,-18.389
1983.285,16.281,659.569,-19.16
1985.688,17.159,661.672,-19.922
1988.089,18.036,663.776,-20.676
1990.489,18.914,665.882,-21.421
1992.887,19.791,667.989,-22.156
1995.283,20.669,670.097,-22.882
1997.677,21.546,672.207,-23.597
2000.068,22.424,674.317,-24.301
2002.458,23.301,676.429,-24.995
2004.847,24.179,678.543,-25.677
2007.231,25.056,680.657,-26.347
2009.615,25.934,682.773,-27.006
2011.996,26.811,684.89,-27.652
2014.375,27.689,687.008,-28.285
2016.751,28.566,689.128,-28.904
2019.124,29.444,691.248,-29.51
2021.495,30.321,693.37,-30.102
2023.865,31.199,695.494,-30.68
2026.231,32.076,697.618,-31.243
2028.595,32.954,699.744,-31.79
2030.957,33.831,701.871,-32.323
2033.316,34.709,703.999,-32.839
2035.673,35.586,706.129,-33.339
2038.028,36.464,708.26,-33.823
2040.38,37.341,710.392,-34.289
2042.73,38.219,712.525,-34.738
2045.078,39.096,714.66,-35.169
2047.424,39.974,716.796,-35.583
2049.768,40.851,718.933,-35.978
2052.11,41.729,721.071,-36.354
2054.45,42.606,723.211,-36.711
2056.787,43.484,725.351,-37.048
2059.124,44.361,727.493,-37.366
2061.459,45.239,729.637,-37.663
2063.792,46.116,731.781,-37.94
2066.125,46.994,733.927,-38.196
2068.456,47.871,736.074,-38.432
2070.787,48.749,738.223,-38.645
2073.116,49.626,740.372,-38.837
2075.446,50.504,742.523,-39.007
2077.774,51.381,744.675,-39.155
2080.104,52.259,746.829,-39.28
2082.432,53.136,748.983,-39.382
2084.761,54.014,751.139,-39.461
2087.09,54.891,753.296,-39.517
2089.421,55.769,755.455,-39.549
2091.752,56.646,757.614,-39.558
2094.084,57.524,759.775,-39.542
2096.418,58.401,761.938,-39.502
2098.754,59.279,764.101,-39.438
2101.091,60.156,766.266,-39.349
2103.431,61.034,768.432,-39.236
2105.773,61.911,770.599,-39.097
2108.118,62.789,772.767,-38.933
2110.466,63.666,774.937,-38.744
2112.818,64.544,777.108,-38.53
2115.172,65.421,779.28,-38.291
2117.531,66.299,781.453,-38.026
2119.894,67.176,783.628,-37.735
2122.262,68.054,785.804,-37.419
2124.633,68.931,787.981,-37.077
2127.011,69.809,790.16,-36.709
2129.393,70.686,792.339,-36.316
2131.781,71.564,794.52,-35.898
2134.175,72.441,796.703,-35.454
2136.574,73.319,798.886,-34.984
2138.98,74.196,801.071,-34.489
2141.393,75.074,803.257,-33.969
2143.811,75.951,805.444,-33.423
2146.238,76.829,807.633,-32.853
2148.67,77.706,809.822,-32.258
2151.11,78.584,812.013,-31.638
2153.558,79.461,814.206,-30.994
2156.013,80.339,816.399,-30.326
2158.476,81.216,818.594,-29.634
2160.947,82.094,820.79,-28.919
2163.425,82.971,822.987,-28.18
2165.912,83.849,825.186,-27.419
2168.407,84.726,827.386,-26.635
2170.91,85.604,829.587,-25.829
2173.421,86.481,831.789,-25.001
2175.94,87.359,833.992,-24.152
2178.467,88.237,836.197,-23.283
2181.002,89.114,838.403,-22.394
2183.546,89.992,840.611,-21.485
2186.097,90.869,842.819,-20.557
2188.656,91.747,845.029,-19.61
2191.223,92.624,847.24,-18.646
2193.797,93.502,849.452,-17.665
2196.379,94.379,851.666,-16.668
2198.968,95.257,853.881,-15.655
2201.563,96.134,856.097,-14.627
2204.165,97.012,858.314,-13.585
2206.774,97.889,860.533,-12.53
2209.389,98.767,862.753,-11.463
2212.01,99.644,864.974,-10.384
2214.636,100.522,867.196,-9.294
2217.267,101.399,869.42,-8.195
2219.903,102.277,871.645,-7.088
2222.543,103.154,873.871,-5.972
2225.186,104.032,876.098,-4.85
2227.833,104.909,878.327,-3.723
2230.484,105.787,880.557,-2.591
2233.136,106.664,882.788,-1.456
2235.791,107.542,885.02,-0.319
2238.447,108.419,887.254,0.819
2241.104,109.297,889.489,1.956
2243.761,110.174,891.725,3.092
2246.418,111.052,893.962,4.226
2249.074,111.929,896.201,5.355
2251.73,112.807,898.441,6.479
2254.383,113.684,900.682,7.596
2257.034,114.562,902.924,8.705
2259.682,115.439,905.168,9.804
2262.327,116.317,907.413,10.893
2264.967,117.194,909.659,11.969
2267.604,118.072,911.907,13.032
2270.235,118.949,914.155,14.08
2272.861,119.827,916.405,15.11
2275.481,120.704,918.656,16.123
2278.095,121.582,920.909,17.116
2280.701,122.459,923.163,18.088
2283.301,123.337,925.418,19.038
2285.892,124.214,927.674,19.963
2288.476,125.092,929.931,20.863
2291.051,125.969,932.19,21.736
2293.619,126.847,934.45,22.58
2296.177,127.724,936.711,23.394
2298.727,128.602,938.974,24.177
2301.267,129.479,941.237,24.927
2303.8,130.357,943.502,25.642
2306.324,131.234,945.769,26.321
2308.838,132.112,948.036,26.964
2311.344,132.989,950.305,27.567
2313.843,133.867,952.575,28.13
2316.332,134.744,954.846,28.652
2318.816,135.622,957.119,29.132
2321.292,136.499,959.393,29.567
2323.761,137.377,961.668,29.957
2326.224,138.254,963.944,30.301
2328.683,139.132,966.221,30.597
2331.137,140.009,968.5,30.845
2333.588,140.887,970.78,31.043
2336.038,141.764,973.062,31.191
2338.485,142.642,975.344,31.287
2340.932,143.519,977.628,31.331
2343.379,144.397,979.913,31.322
2345.829,145.274,982.199,31.26
2348.282,146.152,984.487,31.143
2350.739,147.029,986.776,30.971
2353.202,147.907,989.066,30.744
2355.672,148.784,991.357,30.461
2358.15,149.662,993.65,30.123
2360.638,150.539,995.944,29.729
2363.136,151.417,998.239,29.279
2365.645,152.294,1000.535,28.773
2368.169,153.172,1002.833,28.211
2370.704,154.049,1005.131,27.595
2373.257,154.927,1007.432,26.923
2375.824,155.804,1009.733,26.197
2378.409,156.682,1012.036,25.417
2381.011,157.56,1014.339,24.585
2383.631,158.437,1016.645,23.701
2386.27,159.315,1018.951,22.767
2388.928,160.192,1021.259,21.783
2391.604,161.07,1023.567,20.751
2394.301,161.947,1025.878,19.673
2397.016,162.825,1028.189,18.549
2399.751,163.702,1030.502,17.383
2402.504,164.58,1032.816,16.177
2405.276,165.457,1035.131,14.931
2408.065,166.335,1037.447,13.649
2410.871,167.212,1039.765,12.333
2413.693,168.09,1042.084,10.986
2416.529,168.967,1044.404,9.61
2419.379,169.845,1046.725,8.208
2422.242,170.722,1049.048,6.783
2425.115,171.6,1051.372,5.34
2427.997,172.477,1053.697,3.88
2430.888,173.355,1056.024,2.407
2433.783,174.232,1058.351,0.925
2436.682,175.11,1060.68,-0.562
2439.583,175.987,1063.011,-2.05
2442.484,176.865,1065.342,-3.536
2445.382,177.742,1067.675,-5.015
2448.275,178.62,1070.009,-6.483
2451.163,179.497,1072.344,-7.937
2454.041,180.375,1074.68,-9.371
2456.908,181.252,1077.018,-10.781
2459.764,182.13,1079.357,-12.163
2462.603,183.007,1081.697,-13.512
2465.427,183.885,1084.039,-14.823
2468.233,184.762,1086.382,-16.093
2471.019,185.64,1088.726,-17.316
2473.783,186.517,1091.071,-18.488
2476.526,187.395,1093.417,-19.605
2479.246,188.272,1095.765,-20.662
2481.943,189.15,1098.114,-21.654
2484.616,190.027,1100.465,-22.577
2487.266,190.905,1102.816,-23.428
2489.894,191.782,1105.169,-24.201
2492.5,192.66,1107.523,-24.894
2495.086,193.537,1109.878,-25.502
2497.654,194.415,1112.235,-26.021
2500.206,195.292,1114.593,-26.45
2502.745,196.17,1116.952,-26.783
2505.274,197.047,1119.312,-27.019
2507.796,197.925,1121.673,-27.155
2510.317,198.802,1124.036,-27.189
2512.84,199.68,1126.4,-27.119
2515.369,200.557,1128.766,-26.943
2517.909,201.435,1131.132,-26.661
2520.464,202.312,1133.5,-26.271
2523.039,203.19,1135.869,-25.773
2525.638,204.067,1138.24,-25.168
2528.265,204.945,1140.611,-24.456
2530.923,205.822,1142.984,-23.639
2533.617,206.7,1145.358,-22.717
2536.348,207.577,1147.733,-21.693
2539.12,208.455,1150.11,-20.57
2541.932,209.332,1152.488,-19.351
2544.787,210.21,1154.867,-18.041
2547.683,211.087,1157.247,-16.642
2550.622,211.965,1159.629,-15.161
2553.601,212.842,1162.012,-13.603
2556.619,213.72,1164.396,-11.975
2559.672,214.597,1166.781,-10.282
2562.76,215.475,1169.168,-8.532
2565.875,216.352,1171.556,-6.733
2569.015,217.23,1173.945,-4.894
2572.176,218.107,1176.336,-3.023
2575.349,218.985,1178.727,-1.13
2578.531,219.862,1181.12,0.775
2581.716,220.74,1183.514,2.683
2584.896,221.617,1185.91,4.582
2588.065,222.495,1188.306,6.461
2591.218,223.372,1190.704,8.31
2594.348,224.25,1193.104,10.117
2597.446,225.127,1195.504,11.87
2600.511,226.005,1197.906,13.558
2603.534,226.882,1200.309,15.169
2606.511,227.76,1202.713,16.69
2609.44,228.638,1205.118,18.112
2612.317,229.515,1207.525,19.423
2615.142,230.393,1209.933,20.611
2617.915,231.27,1212.342,21.666
2620.638,232.148,1214.753,22.579
2623.314,233.025,1217.164,23.341
2625.952,233.903,1219.577,23.942
2628.557,234.78,1221.992,24.375
2631.14,235.658,1224.407,24.634
2633.712,236.535,1226.824,24.712
2636.287,237.413,1229.242,24.607
2638.877,238.29,1231.661,24.313
2641.497,239.168,1234.082,23.831
2644.158,240.045,1236.503,23.159
2646.875,240.923,1238.926,22.299
2649.657,241.8,1241.351,21.254
2652.513,242.678,1243.776,20.028
2655.448,243.555,1246.203,18.629
2658.468,244.433,1248.631,17.063
2661.571,245.31,1251.06,15.342
2664.759,246.188,1253.491,13.477
2668.024,247.065,1255.923,11.482
2671.362,247.943,1258.356,9.372
2674.763,248.82,1260.79,7.165
2678.217,249.698,1263.226,4.879
2681.709,250.575,1265.662,2.535
2685.228,251.453,1268.101,0.156
2688.755,252.33,1270.54,-2.236
2692.275,253.208,1272.98,-4.617
2695.772,254.085,1275.422,-6.961
2699.228,254.963,1277.865,-9.242
2702.626,255.84,1280.31,-11.434
2705.952,256.718,1282.755,-13.51
2709.192,257.595,1285.202,-15.445
2712.337,258.473,1287.65,-17.213
2715.379,259.35,1290.1,-18.789
2718.316,260.228,1292.55,-20.149
2721.151,261.105,1295.002,-21.271
2723.897,261.983,1297.455,-22.137
2726.57,262.86,1299.91,-22.728
2729.195,263.738,1302.365,-23.03
2731.804,264.615,1304.822,-23.033
2734.432,265.493,1307.28,-22.727
2737.115,266.37,1309.74,-22.111
2739.887,267.248,1312.2,-21.184
2742.776,268.125,1314.662,-19.952
2745.804,269.003,1317.125,-18.425
2748.984,269.88,1319.59,-16.618
2752.318,270.758,1322.055,-14.551
2755.805,271.635,1324.522,-12.248
2759.431,272.513,1326.99,-9.741
2763.178,273.39,1329.46,-7.063
2767.02,274.268,1331.93,-4.255
2770.927,275.145,1334.402,-1.359
2774.866,276.023,1336.876,1.578
2778.798,276.9,1339.35,4.505
2782.685,277.778,1341.826,7.37
2786.488,278.655,1344.303,10.119
2790.171,279.533,1346.781,12.698
2793.701,280.41,1349.26,15.054
2797.056,281.288,1351.741,17.135
2800.221,282.165,1354.223,18.892
2803.198,283.043,1356.706,20.28
2806.01,283.92,1359.191,21.26
2808.7,284.798,1361.676,21.799
2811.338,285.675,1364.163,21.874
2814.008,286.553,1366.652,21.47
2816.793,287.43,1369.141,20.581
2819.767,288.308,1371.632,19.213
2822.979,289.185,1374.124,17.386
2826.456,290.063,1376.617,15.128
2830.196,290.94,1379.112,12.483
2834.177,291.818,1381.607,9.507
2838.362,292.695,1384.104,6.265
2842.697,293.573,1386.603,2.834
2847.111,294.45,1389.102,-0.697
2851.532,295.328,1391.603,-4.235
2855.879,296.205,1394.105,-7.68
2860.072,297.083,1396.608,-10.928
2864.041,297.96,1399.113,-13.879
2867.724,298.838,1401.619,-16.431
2871.087,299.716,1404.126,-18.494
2874.134,300.593,1406.634,-19.986
2876.926,301.471,1409.143,-20.84
2879.591,302.348,1411.654,-21.006
2882.309,303.226,1414.166,-20.456
2885.259,304.103,1416.68,-19.185
2888.571,304.981,1419.194,-17.216
2892.307,305.858,1421.71,-14.597
2896.465,306.736,1424.227,-11.406
2900.992,307.613,1426.745,-7.747
2905.798,308.491,1429.265,-3.75
2910.761,309.368,1431.786,0.434
2915.739,310.246,1434.308,4.635
2920.582,311.123,1436.831,8.674
2925.141,312.001,1439.356,12.367
