s_pc,x_pc,y_pc,z_pc
202.439,-848.063,-803.09,-56.239
203.746,-847.185,-802.222,-56.667
205.053,-846.308,-801.353,-57.096
206.363,-845.43,-800.482,-57.526
207.672,-844.553,-799.611,-57.957
208.983,-843.675,-798.738,-58.389
210.295,-842.798,-797.863,-58.821
211.608,-841.92,-796.988,-59.255
212.923,-841.043,-796.111,-59.69
214.238,-840.165,-795.233,-60.125
215.555,-839.288,-794.354,-60.562
216.872,-838.41,-793.474,-60.999
218.191,-837.533,-792.592,-61.438
219.512,-836.655,-791.709,-61.877
220.832,-835.778,-790.825,-62.317
222.155,-834.9,-789.939,-62.758
223.478,-834.023,-789.053,-63.2
224.803,-833.145,-788.165,-63.643
226.128,-832.268,-787.276,-64.086
227.456,-831.39,-786.385,-64.531
228.783,-830.513,-785.493,-64.976
230.113,-829.635,-784.6,-65.423
231.444,-828.757,-783.706,-65.87
232.774,-827.88,-782.811,-66.318
234.107,-827.002,-781.914,-66.767
235.44,-826.125,-781.016,-67.216
236.776,-825.247,-780.117,-67.667
238.111,-824.37,-779.216,-68.118
239.449,-823.492,-778.314,-68.57
240.787,-822.615,-777.411,-69.023
242.126,-821.737,-776.507,-69.477
243.466,-820.86,-775.602,-69.931
244.808,-819.982,-774.695,-70.387
246.15,-819.105,-773.787,-70.843
247.495,-818.227,-772.877,-71.3
248.838,-817.35,-771.967,-71.757
250.185,-816.472,-771.055,-72.216
251.532,-815.595,-770.142,-72.675
252.88,-814.717,-769.228,-73.135
254.229,-813.84,-768.312,-73.596
255.58,-812.962,-767.395,-74.057
256.931,-812.085,-766.477,-74.519
258.284,-811.207,-765.558,-74.982
259.637,-810.33,-764.637,-75.446
260.992,-809.452,-763.716,-75.91
262.348,-808.575,-762.792,-76.375
263.705,-807.697,-761.868,-76.84
265.062,-806.82,-760.943,-77.307
266.422,-805.942,-760.016,-77.774
267.781,-805.065,-759.088,-78.241
269.144,-804.187,-758.158,-78.71
270.505,-803.31,-757.228,-79.179
271.869,-802.432,-756.296,-79.648
273.233,-801.555,-755.363,-80.118
274.599,-800.677,-754.428,-80.589
275.965,-799.8,-753.493,-81.06
277.333,-798.922,-752.556,-81.532
278.702,-798.045,-751.618,-82.005
280.072,-797.167,-750.678,-82.478
281.442,-796.29,-749.738,-82.952
282.814,-795.412,-748.796,-83.426
284.187,-794.535,-747.853,-83.901
285.562,-793.657,-746.908,-84.377
286.937,-792.78,-745.962,-84.853
288.313,-791.902,-745.016,-85.329
289.69,-791.025,-744.067,-85.806
291.068,-790.147,-743.118,-86.283
292.447,-789.27,-742.167,-86.761
293.828,-788.392,-741.215,-87.24
295.209,-787.515,-740.262,-87.719
296.591,-786.637,-739.308,-88.198
297.974,-785.76,-738.352,-88.678
299.359,-784.882,-737.395,-89.158
300.744,-784.005,-736.437,-89.639
302.131,-783.127,-735.477,-90.12
303.518,-782.25,-734.517,-90.602
304.906,-781.372,-733.555,-91.084
306.295,-780.495,-732.592,-91.566
307.686,-779.617,-731.627,-92.049
309.078,-778.74,-730.661,-92.532
310.47,-777.862,-729.694,-93.015
311.863,-776.985,-728.726,-93.499
313.258,-776.107,-727.757,-93.983
314.653,-775.23,-726.786,-94.468
316.049,-774.352,-725.814,-94.952
317.446,-773.475,-724.841,-95.437
318.845,-772.597,-723.866,-95.923
320.244,-771.72,-722.89,-96.408
321.645,-770.842,-721.913,-96.894
323.046,-769.965,-720.935,-97.38
324.448,-769.087,-719.956,-97.867
325.851,-768.21,-718.975,-98.353
327.255,-767.332,-717.993,-98.84
328.659,-766.455,-717.01,-99.327
330.066,-765.577,-716.025,-99.814
331.473,-764.7,-715.039,-100.301
332.881,-763.822,-714.052,-100.789
334.289,-762.945,-713.064,-101.277
335.699,-762.067,-712.074,-101.764
337.109,-761.19,-711.084,-102.252
338.521,-760.312,-710.091,-102.74
339.933,-759.435,-709.098,-103.228
341.347,-758.557,-708.104,-103.717
342.761,-757.679,-707.108,-104.205
344.176,-756.802,-706.111,-104.693
345.593,-755.924,-705.112,-105.182
347.009,-755.047,-704.113,-105.67
348.427,-754.169,-703.112,-106.158
349.846,-753.292,-702.11,-106.647
351.265,-752.414,-701.107,-107.135
352.686,-751.537,-700.102,-107.624
354.108,-750.659,-699.096,-108.112
355.529,-749.782,-698.089,-108.6
356.953,-748.904,-697.081,-109.089
358.377,-748.027,-696.071,-109.577
359.802,-747.149,-695.06,-110.065
361.227,-746.272,-694.048,-110.553
362.654,-745.394,-693.035,-111.041
364.081,-744.517,-692.02,-111.528
365.509,-743.639,-691.004,-112.016
366.938,-742.762,-689.987,-112.503
368.368,-741.884,-688.969,-112.99
369.798,-741.007,-687.949,-113.477
371.23,-740.129,-686.928,-113.964
372.662,-739.252,-685.906,-114.451
374.096,-738.374,-684.882,-114.937
375.529,-737.497,-683.858,-115.423
376.965,-736.619,-682.832,-115.909
378.399,-735.742,-681.805,-116.394
379.836,-734.864,-680.776,-116.879
381.273,-733.987,-679.747,-117.364
382.711,-733.109,-678.716,-117.849
384.15,-732.232,-677.683,-118.333
385.59,-731.354,-676.65,-118.817
387.03,-730.477,-675.615,-119.3
388.471,-729.599,-674.579,-119.783
389.913,-728.722,-673.542,-120.266
391.355,-727.844,-672.504,-120.748
392.798,-726.967,-671.464,-121.23
394.243,-726.089,-670.423,-121.711
395.687,-725.212,-669.381,-122.192
397.133,-724.334,-668.337,-122.672
398.579,-723.457,-667.292,-123.152
400.026,-722.579,-666.246,-123.631
401.474,-721.702,-665.199,-124.11
402.922,-720.824,-664.151,-124.588
404.371,-719.947,-663.101,-125.066
405.821,-719.069,-662.05,-125.543
407.271,-718.192,-660.998,-126.019
408.723,-717.314,-659.944,-126.495
410.175,-716.437,-658.889,-126.97
411.628,-715.559,-657.833,-127.444
413.081,-714.682,-656.776,-127.918
414.535,-713.804,-655.718,-128.391
415.989,-712.927,-654.658,-128.863
417.445,-712.049,-653.597,-129.335
418.901,-711.172,-652.535,-129.806
420.358,-710.294,-651.471,-130.276
421.815,-709.417,-650.406,-130.745
423.274,-708.539,-649.34,-131.214
424.732,-707.662,-648.273,-131.681
426.192,-706.784,-647.204,-132.148
427.652,-705.907,-646.134,-132.614
429.113,-705.029,-645.063,-133.08
430.574,-704.152,-643.991,-133.544
432.036,-703.274,-642.917,-134.007
433.498,-702.397,-641.843,-134.47
434.961,-701.519,-640.767,-134.931
436.425,-700.642,-639.689,-135.392
437.89,-699.764,-638.611,-135.851
439.355,-698.887,-637.531,-136.31
440.82,-698.009,-636.45,-136.767
442.287,-697.132,-635.367,-137.224
443.753,-696.254,-634.284,-137.679
445.221,-695.377,-633.199,-138.134
446.689,-694.499,-632.113,-138.587
448.158,-693.622,-631.025,-139.04
449.627,-692.744,-629.937,-139.491
451.097,-691.867,-628.847,-139.941
452.567,-690.989,-627.756,-140.389
454.038,-690.112,-626.663,-140.837
455.51,-689.234,-625.57,-141.284
456.981,-688.357,-624.475,-141.729
458.454,-687.479,-623.379,-142.173
459.928,-686.601,-622.281,-142.616
461.401,-685.724,-621.183,-143.057
462.876,-684.846,-620.083,-143.497
464.351,-683.969,-618.981,-143.936
465.826,-683.091,-617.879,-144.374
467.302,-682.214,-616.775,-144.81
468.779,-681.336,-615.67,-145.245
470.256,-680.459,-614.564,-145.679
471.733,-679.581,-613.457,-146.111
473.211,-678.704,-612.348,-146.542
474.69,-677.826,-611.238,-146.971
476.169,-676.949,-610.127,-147.399
477.649,-676.071,-609.014,-147.825
479.129,-675.194,-607.901,-148.25
480.61,-674.316,-606.786,-148.674
482.091,-673.439,-605.67,-149.096
483.573,-672.561,-604.552,-149.516
485.055,-671.684,-603.433,-149.935
486.538,-670.806,-602.313,-150.352
488.021,-669.929,-601.192,-150.768
489.505,-669.051,-600.07,-151.182
490.989,-668.174,-598.946,-151.594
492.474,-667.296,-597.821,-152.005
493.958,-666.419,-596.695,-152.414
495.445,-665.541,-595.567,-152.821
496.931,-664.664,-594.438,-153.227
498.418,-663.786,-593.308,-153.631
499.904,-662.909,-592.177,-154.033
501.392,-662.031,-591.045,-154.433
502.88,-661.154,-589.911,-154.832
504.368,-660.276,-588.776,-155.229
505.858,-659.399,-587.639,-155.624
507.347,-658.521,-586.502,-156.017
508.837,-657.644,-585.363,-156.408
510.328,-656.766,-584.223,-156.798
511.818,-655.889,-583.082,-157.186
513.31,-655.011,-581.939,-157.571
514.802,-654.134,-580.795,-157.955
516.294,-653.256,-579.65,-158.337
517.787,-652.379,-578.504,-158.717
519.28,-651.501,-577.356,-159.094
520.773,-650.624,-576.208,-159.47
522.267,-649.746,-575.058,-159.844
523.762,-648.869,-573.906,-160.216
525.257,-647.991,-572.754,-160.586
526.752,-647.114,-571.6,-160.953
528.249,-646.236,-570.445,-161.319
529.745,-645.359,-569.288,-161.682
531.242,-644.481,-568.131,-162.044
532.739,-643.604,-566.972,-162.403
534.237,-642.726,-565.812,-162.76
535.736,-641.849,-564.65,-163.115
537.234,-640.971,-563.488,-163.468
538.733,-640.094,-562.324,-163.818
540.233,-639.216,-561.159,-164.166
541.733,-638.339,-559.992,-164.512
543.233,-637.461,-558.825,-164.856
